,linha,paradas
36,0.101,"                        geometry
0    POINT (-47.76040 -15.75219)
1    POINT (-47.74439 -15.75897)
2    POINT (-47.75372 -15.75319)
3    POINT (-47.74684 -15.75743)
4    POINT (-47.75137 -15.75455)
..                           ...
151  POINT (-47.88421 -15.72049)
152  POINT (-47.88332 -15.71798)
153  POINT (-47.89265 -15.72342)
154  POINT (-47.88321 -15.72205)
155  POINT (-47.89345 -15.72321)

[156 rows x 1 columns]"
37,0.322,"                        geometry
0    POINT (-47.96572 -15.80723)
1    POINT (-47.96643 -15.80779)
2    POINT (-47.96643 -15.80739)
3    POINT (-47.96547 -15.80754)
4    POINT (-47.96682 -15.80706)
..                           ...
184  POINT (-47.89801 -15.81589)
185  POINT (-47.89820 -15.81603)
186  POINT (-47.90020 -15.81720)
187  POINT (-47.89972 -15.81719)
188  POINT (-47.90083 -15.81642)

[189 rows x 1 columns]"
38,0.175,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.96304 -15.86636)
2    POINT (-47.96287 -15.86609)
3    POINT (-47.96680 -15.86686)
4    POINT (-47.96505 -15.86656)
..                           ...
135  POINT (-47.89838 -15.73702)
136  POINT (-47.89805 -15.74110)
137  POINT (-47.89822 -15.74181)
138  POINT (-47.89728 -15.74474)
139  POINT (-47.89692 -15.74462)

[140 rows x 1 columns]"
39,167.1,"                        geometry
0    POINT (-47.87419 -15.77607)
1    POINT (-47.87466 -15.77462)
2    POINT (-47.87472 -15.77182)
3    POINT (-47.87516 -15.77119)
4    POINT (-47.87591 -15.76745)
..                           ...
156  POINT (-47.89880 -15.82335)
157  POINT (-47.90071 -15.82521)
158  POINT (-47.89857 -15.82367)
159  POINT (-47.97923 -15.82525)
160  POINT (-47.97757 -15.82437)

[161 rows x 1 columns]"
40,0.370,"                        geometry
0    POINT (-47.87419 -15.77607)
1    POINT (-47.87466 -15.77462)
2    POINT (-47.87472 -15.77182)
3    POINT (-47.87516 -15.77119)
4    POINT (-47.87012 -15.76002)
..                           ...
247  POINT (-48.13849 -15.80322)
248  POINT (-48.13989 -15.80657)
249  POINT (-48.13995 -15.80677)
250  POINT (-48.14249 -15.80750)
251  POINT (-48.14117 -15.80691)

[252 rows x 1 columns]"
41,158.3,"                        geometry
0    POINT (-47.97049 -15.80209)
1    POINT (-47.96931 -15.80262)
2    POINT (-47.96703 -15.80295)
3    POINT (-47.96676 -15.80266)
4    POINT (-47.91392 -15.82749)
..                           ...
152  POINT (-47.89801 -15.81589)
153  POINT (-47.89820 -15.81603)
154  POINT (-47.90020 -15.81720)
155  POINT (-47.89972 -15.81719)
156  POINT (-47.90083 -15.81642)

[157 rows x 1 columns]"
42,348.1,"                        geometry
0    POINT (-47.87419 -15.77607)
1    POINT (-47.87466 -15.77462)
2    POINT (-47.87472 -15.77182)
3    POINT (-47.87516 -15.77119)
4    POINT (-47.87012 -15.76002)
..                           ...
284  POINT (-48.13852 -15.80309)
285  POINT (-48.13885 -15.80389)
286  POINT (-48.13849 -15.80322)
287  POINT (-48.13923 -15.80097)
288  POINT (-48.13971 -15.80097)

[289 rows x 1 columns]"
43,147.2,"                        geometry
0    POINT (-47.78887 -15.89755)
1    POINT (-47.79119 -15.89560)
2    POINT (-47.79144 -15.89588)
3    POINT (-47.78726 -15.89715)
4    POINT (-47.78566 -15.89730)
..                           ...
141  POINT (-47.90526 -15.81193)
142  POINT (-47.90854 -15.81387)
143  POINT (-47.91091 -15.81558)
144  POINT (-47.91059 -15.81581)
145  POINT (-47.90791 -15.81387)

[146 rows x 1 columns]"
44,807.8,"                        geometry
0    POINT (-48.04649 -15.91734)
1    POINT (-48.04654 -15.91720)
2    POINT (-48.04554 -15.92044)
3    POINT (-48.04599 -15.92026)
4    POINT (-48.04672 -15.91787)
..                           ...
110  POINT (-48.05632 -15.90152)
111  POINT (-48.03646 -15.94483)
112  POINT (-48.03823 -15.94194)
113  POINT (-48.03628 -15.94559)
114  POINT (-48.03757 -15.94266)

[115 rows x 1 columns]"
45,0.624,"                        geometry
0    POINT (-47.65846 -15.61408)
1    POINT (-47.65872 -15.61893)
2    POINT (-47.65865 -15.62124)
3    POINT (-47.65847 -15.61810)
4    POINT (-47.65834 -15.61513)
..                           ...
171  POINT (-47.89554 -15.72391)
172  POINT (-47.89611 -15.72536)
173  POINT (-47.89579 -15.72520)
174  POINT (-47.89838 -15.71831)
175  POINT (-47.89801 -15.71827)

[176 rows x 1 columns]"
46,0.382,"                        geometry
0    POINT (-48.07248 -15.80428)
1    POINT (-48.07241 -15.80472)
2    POINT (-48.06908 -15.80365)
3    POINT (-48.06546 -15.80253)
4    POINT (-48.06637 -15.80255)
..                           ...
144  POINT (-48.12812 -15.78695)
145  POINT (-47.98070 -15.79007)
146  POINT (-47.98555 -15.78824)
147  POINT (-47.98085 -15.79038)
148  POINT (-47.98527 -15.78863)

[149 rows x 1 columns]"
47,0.394,"                        geometry
0    POINT (-48.11097 -15.88964)
1    POINT (-48.11140 -15.89043)
2    POINT (-48.03187 -15.86770)
3    POINT (-48.03234 -15.87486)
4    POINT (-48.03240 -15.86772)
..                           ...
209  POINT (-47.91911 -15.80191)
210  POINT (-47.91606 -15.80011)
211  POINT (-47.92143 -15.80326)
212  POINT (-47.92345 -15.80438)
213  POINT (-47.91679 -15.80016)

[214 rows x 1 columns]"
